EST,Temperature,Humidity,Precipitation,Cloud Cover,Event,Wind Speed,Wind Direction,Pressure,Visibility,UV Index,Sunrise,Sunset
2026-05-05 06:00,58,82,0.00,75,Cloudy,8,NNE,1018,10,1,05:49,19:45
2026-05-05 09:00,64,76,0.00,60,Partly Cloudy,10,E,1017,10,3,05:49,19:45
2026-05-05 12:00,71,68,0.00,30,Sunny,12,SE,1015,10,6,05:49,19:45
2026-05-05 15:00,74,63,0.01,40,Mostly Sunny,14,S,1014,10,7,05:49,19:45
2026-05-05 18:00,68,70,0.05,90,Showers,11,SSW,1016,8,2,05:49,19:45
2026-05-05 21:00,64,78,0.10,100,Thunderstorm,9,WSW,1018,6,1,05:49,19:45
2026-05-06 00:00,60,85,0.12,95,Rain,8,SW,1019,5,0,05:49,19:45
2026-05-06 03:00,57,88,0.08,100,Light Rain,7,S,1020,4,0,05:49,19:45
2026-05-06 06:00,56,90,0.00,80,Fog,6,SE,1021,2,0,05:49,19:45
2026-05-06 09:00,62,82,0.00,50,Partly Cloudy,8,E,1020,10,2,05:49,19:45
2026-05-06 12:00,70,70,0.00,25,clear,12,SE,1018,10,6,05:49,19:45
2026-05-06 15:00,73,65,0.00,20,Mostly Sunny,13,S,1016,10,7,05:49,19:45
2026-05-06 18:00,69,72,0.02,70,clear,12,SSW,1017,8,2,05:49,19:45
2026-05-06 21:00,63,79,0.05,85,clear,10,SW,1018,7,1,05:49,19:45
2026-05-07 00:00,59,86,0.10,90,Rain,9,WSW,1019,6,0,05:49,19:45
2026-05-07 03:00,56,89,0.07,95,Mist,8,S,1020,4,0,05:49,19:45
2026-05-07 06:00,55,92,0.00,85,Fog,7,SE,1021,3,0,05:49,19:45
2026-05-07 09:00,61,84,0.00,55,Partly Cloudy,9,E,1020,10,2,05:49,19:45
2026-05-07 12:00,69,74,0.00,30,Sunny,11,SE,1018,10,6,05:49,19:45
